group,family,genus,species
Chironomidae,Orthocladiinae,Diplocladius,Diplocladius cultriger
Chironomidae,Orthocladiinae,Corynoneura,Corynoneura
Trichoptera,Leptoceridae,Athripsodes,Athripsodes cinereus
Ephemeroptera,Baetidae,Baetis,Baetis vernus
Oligochaeta,Lumbriculidae,Stylodrilus,Stylodrilus heringianus
Chironomidae,Tanypodinae,Tanypodinae,Tanypodinae
Diptera,Ceratopogonidae,Bezzia,Bezzia
Trichoptera,Limnephilini,Limnephilus,Limnephilus marmoratus
Bivalvia,Sphaeriidae,Sphaerium,Sphaerium
Diptera,Ceratopogonidae,Bezzia,Bezzia
Chironomidae,Chironomini,Polypedilum,Polypedilum nubeculosum
Heteroptera,Corixidae,Callicorixa,Callicorixa praeusta
Chironomidae,Tanypodinae,Clinotanypus,Clinotanypus nervosus
Diptera,Simuliidae,Simulium,Simulium angustipes
Trichoptera,Leptoceridae,Mystacides,Mystacides
Chironomidae,Orthocladiinae,Brillia,Brillia bifida
Coleoptera,Helodidae,Elodes,Elodes minuta
Trichoptera,Leptoceridae,Mystacides,Mystacides longicornis
Diptera,Chaoboridae,Chaoborus,Chaoborus crystallinus
Copepoda,Copepoda,Copepoda,Copepoda
Bivalvia,Sphaeriidae,Pisidium,Pisidium amnicum
Diptera,Ceratopogonidae,Culicoides,Culicoides
Chironomidae,Orthocladiinae,Brillia,Brillia
Chironomidae,Diamesinae,Prodiamesa,Prodiamesa
Diptera,Stratiomyiidae,Odontomyia,Odontomyia
Heteroptera,Pleidae,Plea,Plea leachi
Trichoptera,Limnephilini,Limnephilus,Limnephilus
Hirudinea,Erpobdellidae,Erpobdella,Erpobdella testacea
Hydrozoa,Hydridae,Hydra,Hydra
Chironomidae,Orthocladiinae,Thienemanniella,Thienemanniella
Chironomidae,Orthocladiinae,Chaetocladius,Chaetocladius
Coleoptera,Hydrophilidae,Hydrophilidae,Hydrophilidae
Gastropoda,Planorbidae,Planorbis,Planorbis carinatus
Chironomidae,Tanypodinae,Macropelopia,Macropelopia nebulosa
Amphipoda,Gammaridae,Gammarus,Gammarus
Diptera,Simuliidae,Simuliidae,Simuliidae
Heteroptera,Corixidae,Corixidae,Corixidae
Heteroptera,Notonectidae,Notonecta,Notonecta
Diptera,Tipulidae,Tipulidae,Tipulidae
Gastropoda,Planorbidae,Planorbidae,Planorbidae
Hirudinea,Glossiphoniidae,Glossiphonia,Glossiphonia
Hirudinea,Glossiphoniidae,Helobdella,Helobdella
Trichoptera,Polycentropodidae,Plectrocnemia,Plectrocnemia conspersa
Coleoptera,Dytiscidae,Agabus,Agabus paludosus
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche siltalai
Diptera,Limoniidae,Limnophila,Limnophila
Diptera,Psychodidae,Pericoma,Pericoma
Trichoptera,Stenophylachini,Micropterna,Micropterna sequax
Chironomidae,Orthocladiinae,Eukiefferiella,Eukiefferiella
Diptera,Simuliidae,Eusimulium,Simulium 
Diptera,Simuliidae,Simulium,Simulium ornatum
Chironomidae,Diamesinae,Diamesa,Diamesa insignipes
Diptera,Diptera,Diptera,Nematocera
Coleoptera,Gyrinidae,Gyrinus,Gyrinus substriatus
Diptera,Tipulidae,Tipula,Tipula maxima
Coleoptera,Hydroporinae,Scarodytes,Scarodytes halensis
Coleoptera,Hydrophilinae,Hydrobius,Hydrobius fuscipes
Chironomidae,Chironomini,Paracladopelma,Paracladopelma nigritula
Coleoptera,Dytiscidae,Agabus,Agabus
Coleoptera,Gyrinidae,Gyrinus,Gyrinus
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche angustipennis
Brachycera,Muscidae,Muscidae,Muscidae
Trichoptera,Psychomyidae,Tinodes,Tinodes pallidulus
Chironomidae,Chironomini,Polypedilum,Polypedilum scalaenum
Chironomidae,Orthocladiinae,Rheocricotopus,Rheocricotopus
Chironomidae,Chironomini,Polypedilum,Polypedilum laetum-agg.
Diptera,Ptychopteridae,Ptychoptera,Ptychoptera lacustris
Coleoptera,Hydrophilinae,Anacaena,Anacaena
Chironomidae,Tanypodinae,Zavrelimyia,Zavrelimyia barbatipes
Diptera,Simuliidae,Simulium,Simulium trifasciatum
Coleoptera,Helodidae,Elodes,Elodes minuta
Coleoptera,Hydrophilinae,Anacaena,Anacaena globulus
Diptera,Limoniidae,Neolimnomyia,Neolimnomyia
Diptera,Stratiomyiidae,Oxycera,Oxycera
Diptera,Simuliidae,Simulium,Simulium vernum
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila fasciata
Trichoptera,Stenophylachini,Micropterna,Micropterna
Gastropoda,Lymnaeidae,Lymnaea,Lymnaea
Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta
Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche
Trichoptera,Polycentropodidae,Polycentropodidae,Polycentropodidae
Diptera,Limoniidae,Limoniidae,Limoniidae
Chironomidae,Chironomidae,Chironomidae,Chironomidae
Platyhelminthes,Turbellaria,Turbellaria,Turbellaria
Chironomidae,Orthocladiinae,Heterotrissocladius,Heterotrissocladius marcidus
Lepidoptera,Pyralidae,Cataclysta,Cataclysta lemnata
Chironomidae,Tanypodinae,Tanypodinae,Pentaneurini
Trichoptera,Limnephilini,Limnephilus,Limnephilus bipunctatus
Diptera,Limoniidae,Austrolimnophila,Austrolimnophila
Diptera,Ptychopteridae,Ptychoptera,Ptychoptera paludosa
Diptera,Empididae,Hemerodromia,Hemerodromia
Trichoptera,Goeridae,Silo,Silo nigricornis
Tricladida,Tricladida,Polycelis,Polycelis nigra
Trichoptera,Stenophylachini,Halesus,Halesus
Heteroptera,Gerridae,Gerris,Gerris
Chironomidae,Tanypodinae,Conchapelopia,Conchapelopia melanops
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius thienemanni
Oligochaeta,Enchytraeidae,Enchytraeidae,Enchytraeidae
Chironomidae,Tanypodinae,Psectrotanypus,Psectrotanypus varius
Chironomidae,Chironomini,Endochironomus,Endochironomus
Coleoptera,Dytiscidae,Ilybius,Ilybius fuliginosus
Coleoptera,Dytiscidae,Dytiscidae,Dytiscidae
Coleoptera,Dytiscidae,Agabus,Agabus didymus
Coleoptera,Helophorinae,Helophorus,Helophorus
Coleoptera,Hydraenidae,Ochthebius,Ochthebius
Chironomidae,Orthocladiinae,Tvetenia,Tvetenia
Chironomidae,Diamesinae,Odontomesa,Odontomesa fulva
Coleoptera,Hydraenidae,Hydraena,Hydraena gracilis
Tricladida,Tricladida,Polycelis,Polycelis tenuis
Diptera,Limoniidae,Pedicia,Pedicia
Gastropoda,Planorbidae,Segmentina,Segmentina nitida
Plecoptera,Nemouridae,Nemoura,Nemoura
Diptera,Limoniidae,Limoniidae,Hexatominae
Diptera,Empididae,Wiedemannia,Wiedemannia
Oligochaeta,Lumbriculidae,Lumbriculidae,Lumbriculidae
Ephemeroptera,Leptophlebiidae,Leptophlebia,Leptophlebia
Heteroptera,Corixidae,Cymatia,Cymatia
Coleoptera,Noteridae,Noterus,Noterus
Tricladida,Tricladida,Dugesia,Dugesia lugubris
Arachnida,Arachnida,Arachnida,Arachnida
Tricladida,Tricladida,Planaria,Planaria torva
Diptera,Simuliidae,Simulium,Simulium
Odonata,Coenagrionidae,Coenagrion,Coenagrion
Heteroptera,Mesoveliidae,Velia,Velia
Gastropoda,Lymnaeidae,Stagnicola,Stagnicola glabra
Diptera,Empididae,Empididae,Empididae
Hirudinea,Hirudidae,Hirudo,Hirudo medicinalis
Chironomidae,Chironomini,Polypedilum,Polypedilum laetum
Heteroptera,Nepidae,Nepa,Nepa cinerea
Diptera,Ptychopteridae,Ptychoptera,Ptychoptera
Trichoptera,Psychomyidae,Lype,Lype reducta
Diptera,Tabanidae,Tabanidae,Tabanidae
Diptera,Stratiomyiidae,Stratiomys,Stratiomys
Hirudinea,Erpobdellidae,Dina,Dina lineata
Hirudinea,Hirudidae,Haemopis,Haemopis sanguisuga
Plecoptera,Nemouridae,Nemurella,Nemurella picteti
Diptera,Tabanidae,Tabanus,Tabanus
Diptera,Limoniidae,Pedicia,Pedicia rivosa
Chironomidae,Tanypodinae,Monopelopia,Monopelopia tenuicalcar
Diptera,Limoniidae,Molophilus,Molophilus
Diptera,Dixidae,Dixa,Dixa maculata
Diptera,Simuliidae,Simulium,Simulium angustitarse
Tricladida,Tricladida,Tricladida,Tricladida
Trichoptera,Beraeidae,Beraeodes,Beraeodes minutus
Heteroptera,Heteroptera,Heteroptera,Heteroptera
Hirudinea,Piscicolidae,Piscicola,Piscicola geometra
Heteroptera,Corixidae,Micronecta,Micronecta
Ephemeroptera,Caenidae,Caenis,Caenis
Trichoptera,Beraeidae,Beraeidae,Beraeidae
Coleoptera,Coleoptera,Coleoptera,Coleoptera
Gastropoda,Bithyniidae,Bithynia,Bithynia leachi
Megaloptera,Sialidae,Sialis,Sialis
Trichoptera,Leptoceridae,Leptoceridae,Leptoceridae
Trichoptera,Sericostomatidae,Notidobia,Notidobia ciliaris
Trichoptera,Psychomyidae,Psychomyidae,Psychomyidae
Porifera,Spongillidae,Spongilla,Spongilla
Brachycera,Muscidae,Limnophora,Limnophora 
Megaloptera,Sisyridae,Sisyra,Sisyra
Hydracarina,Unionicolidae,Unionicola,Unionicola crassipes
Odonata,Coenagrionidae,Ischnura,Ischnura
Diptera,Limoniidae,Hexatoma,Hexatoma
Diptera,Culicidae,Anopheles,Anopheles
Coleoptera,Hydraenidae,Hydraena,Hydraena
Copepoda,Cyclopoidae,Cyclops,Cyclops
Porifera,Spongillidae,Ephydatia,Ephydatia
Bivalvia,Unionidae,Anodonta,Anodonta cygnaea
Odonata,Odonata,Odonata,Odonata
Trichoptera,Molannidae,Molanna,Molanna
Trichoptera,Polycentropodidae,Holocentropus,Holocentropus
Trichoptera,Polycentropodidae,Cyrnus,Cyrnus trimaculatus
Gastropoda,Acroloxidae,Acroloxus,Acroloxus lacustris
Ephemeroptera,Caenidae,Caenis,Caenis horaria
Hirudinea,Glossiphoniidae,Glossiphonia,Glossiphonia heteroclita
Chironomidae,Chironomini,Chironomus,Chironomus
Ephemeroptera,Baetidae,Cloeon,Cloeon
Chironomidae,Orthocladiinae,Cricotopus,Cricotopus
Chironomidae,Chironomini,Glyptotendipes,Glyptotendipes
Trichoptera,Polycentropodidae,Cyrnus,Cyrnus
Chironomidae,Tanypodinae,Ablabesmyia,Ablabesmyia
Ostracoda,Ostracoda,Ostracoda,Ostracoda
Nematomorpha,Nematomorpha,Nematomorpha,Nematomorpha
Diptera,Stratiomyiidae,Oxycera,Oxycera trilineata
Lepidoptera,Lepidoptera,Lepidoptera,Lepidoptera
Bivalvia,Dreissenidae,Dreissena,Dreissena polymorpha
Ephemeroptera,Caenidae,Caenis,Caenis robusta
Trichoptera,Leptoceridae,Ceraclea,Ceraclea senilis
Trichoptera,Polycentropodidae,Cyrnus,Cyrnus flavidus
Trichoptera,Polycentropodidae,Holocentropus,Holocentropus picicornis
Chironomidae,Chironomini,Endochironomus,Endochironomus albipennis
Chironomidae,Tanytarsini,Tanytarsus,Tanytarsus
Diptera,Diptera,Diptera,Brachycera
Odonata,Aeshnidae,Aeshna,Aeshna mixta
Trichoptera,Leptoceridae,Ceraclea,Ceraclea
Diptera,Limoniidae,Ormosia,Ormosia
Gastropoda,Planorbidae,Hippeutis,Hippeutis complanatus
Odonata,Odonata,Zygoptera,Zygoptera
Ephemeroptera,Baetidae,Baetidae,Baetidae
Gastropoda,Bithyniidae,Bithynia,Bithynia
Trichoptera,Hydropsychidae,Hydropsychidae,Hydropsychidae
Lepidoptera,Pyralidae,Parapoynx,Parapoynx stratiotata
Odonata,Coenagrionidae,Erythromma,Erythromma najas
Ephemeroptera,Caenidae,Caenis,Caenis luctuosa
Trichoptera,Phryganeidae,Phryganea,Phryganea grandis
Chironomidae,Diamesinae,Potthastia,Potthastia longimana
Coleoptera,Helophorinae,Helophorus,Helophorus aequalis
Chironomidae,Chironomini,Demicryptochironomus,Demicryptochironomus vulneratus
Diptera,Dolichopodidae,Dolichopodidae,Dolichopodidae
Oligochaeta,Tubificidae,Uncinais,Uncinais uncinata
Brachycera,Brachycera,Brachycera,Cyclorrhapha
Chironomidae,Orthocladiinae,Nanocladius,Nanocladius
Trichoptera,Stenophylachini,Potamophylax,Potamophylax latipennis
Gastropoda,Planorbidae,Gyraulus,Gyraulus laevis
Trichoptera,Stenophylachini,Potamophylax,Potamophylax
Odonata,Calopterygidae,Calopteryx,Calopteryx splendens
Trichoptera,Hydroptilidae,Hydroptila,Hydroptila sparsa
Brachycera,Muscidae,Limnophora,Limnophora riparia
Trichoptera,Leptoceridae,Athripsodes,Athripsodes
Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma hirtum
Platyhelminthes,Turbellaria,Turbellaria,Rhabdocoela
Porifera,Porifera,Porifera,Porifera
Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera risi
Coleoptera,Laccophilinae,Laccophilus,Laccophilus hyalinus
Trichoptera,Polycentropodidae,Polycentropus,Polycentropus flavomaculatus
Oligochaeta,Tubificidae,Limnodrilus,Limnodrilus
Trichoptera,Psychomyidae,Lype,Lype phaeopa
Ephemeroptera,Baetidae,Centroptilum,Centroptilum luteolum
Diptera,Limoniidae,Gnophomyia,Gnophomyia lugubris
Trichoptera,Limnephilini,Limnephilus,Limnephilus fuscicornis
Trichoptera,Goeridae,Goeridae,Goeridae
Diptera,Culicidae,Aedes,Aedes
Chironomidae,Orthocladiinae,Parametriocnemus,Parametriocnemus stylatus
Coleoptera,Elmidae,Oulimnius,Oulimnius tuberculatus
Trichoptera,Limnephilini,Limnephilus,Limnephilus affinis
Odonata,Calopterygidae,Calopteryx,Calopteryx
Coleoptera,Elmidae,Limnius,Limnius volckmari
Chironomidae,Orthocladiinae,Synorthocladius,Synorthocladius semivirens
Coleoptera,Elmidae,Oulimnius,Oulimnius
Heteroptera,Corixidae,Paracorixa,Paracorixa concinna
Diptera,Culicidae,Culex,Culex
Diptera,Simuliidae,Simulium,Simulium noelleri
Trichoptera,Polycentropodidae,Neureclipsis,Neureclipsis bimaculata
Decapoda,Astacidae,Astacus,Astacus astacus
Trichoptera,Hydroptilidae,Hydroptila,Hydroptila
Lepidoptera,Pyralidae,Elophila,Elophila nymphaeata
Trichoptera,Limnephilidae,Ironoquia,Ironoquia dubia
Trichoptera,Limnephilini,Grammotaulius,Grammotaulius nigropunctatus
Coleoptera,Hydrophilinae,Anacaena,Anacaena limbata
Coleoptera,Hydrophilinae,Anacaena,Anacaena lutescens
Trichoptera,Stenophylachini,Micropterna,Micropterna lateralis
Coleoptera,Laccophilinae,Laccophilinae,Laccophilinae
Diptera,Limoniidae,Tricyphona,Tricyphona
Trichoptera,Limnephilini,Limnephilus,Limnephilus ignavus
Gastropoda,Lymnaeidae,Galba,Galba truncatula
Trichoptera,Limnephilini,Limnephilus,Limnephilus auricula
Coleoptera,Hydraenidae,Limnebius,Limnebius
Chironomidae,Chironomini,Chironomus,Chironomus plumosus
Diptera,Ptychopteridae,Ptychoptera,Ptychoptera contaminata
Coleoptera,Laccophilinae,Laccophilus,Laccophilus
Coleoptera,Haliplidae,Haliplus,Haliplus lineatocollis
Diptera,Limoniidae,Ula,Ula sylvatica
Brachycera,Sciomyzidae,Sciomyzidae,Sciomyzidae
Chironomidae,Diamesinae,Diamesa,Diamesa
Heteroptera,Gerridae,Gerris,Gerris lacustris
Coleoptera,Hydroporinae,Hydroporinae,Hydroporinae
Diptera,Stratiomyiidae,Stratiomyiidae,Stratiomyidae
Diptera,Empididae,Chelifera,Chelifera
Gastropoda,Succineidae,Succinea,Succinea
Coleoptera,Helodidae,Elodes,Elodes
Coleoptera,Hydroporinae,Hygrotus,Hygrotus inaequalis
Heteroptera,Corixidae,Sigara,Sigara fossarum
Odonata,Libellulidae,Libellula,Libellula
Coleoptera,Hydroporinae,Deronectes,Deronectes latus
Trichoptera,Phryganeidae,Phryganeidae,Phryganeidae
Coleoptera,Helodidae,Helodidae,Helodidae
Coleoptera,Haliplidae,Haliplus,Haliplus ruficollis
Chironomidae,Chironomini,Einfeldia,Einfeldia
Odonata,Aeshnidae,Aeshna,Aeshna cyanea
Coleoptera,Dytiscidae,Rhantus,Rhantus frontalis
Trichoptera,Molannidae,Molannidae,Molannidae
Gastropoda,Viviparidae,Viviparus,Viviparus
Chironomidae,Orthocladiinae,Tvetenia,Tvetenia discoloripes
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius 
Coleoptera,Dytiscinae,Dytiscus,Dytiscus
Oligochaeta,Tubificidae,Nais,Nais elinguis
Diptera,Empididae,Clinocera,Clinocera
Diptera,Simuliidae,Simulium,Simulium cryophilum
Coleoptera,Hydroporinae,Hydroporus,Hydroporus palustris
Diptera,Stratiomyiidae,Nemotelus,Nemotelus
Coleoptera,Helodidae,Cyphon,Cyphon
Ephemeroptera,Baetidae,Procloeon,Procloeon bifidum
Trichoptera,Sericostomatidae,Sericostomatidae,Sericostomatidae
Coleoptera,Hydroporinae,Hyphydrus,Hyphydrus ovatus
Oligochaeta,Lumbriculidae,Rhynchelmis,Rhynchelmis limosella
Trichoptera,Psychomyidae,Tinodes,Tinodes waeneri
Coleoptera,Dytiscidae,Colymbetes,Colymbetes fuscus
Gastropoda,Gastropoda,Gastropoda,Gastropoda
Gastropoda,Physidae,Physella,Physella acuta
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius frigidus
Chironomidae,Chironomini,Endochironomus,Endochironomus dispar
Chironomidae,Tanytarsini,Paratanytarsus,Paratanytarsus
Amphipoda,Gammaridae,Gammarus,Gammarus duebeni
Tricladida,Tricladida,Dugesia,Dugesia gonocephala
Amphipoda,Gammaridae,Gammarus,Gammarus zaddachi
Coleoptera,Curculionidae,Tanysphyrus,Tanysphyrus lemnae
Diptera,Limoniidae,Pilaria,Pilaria discicollis
Diptera,Psychodidae,Psychodidae,Psychodidae
Coleoptera,Hydroporinae,Hydroporus,Hydroporus incognitus
Diptera,Stratiomyiidae,Stratiomys,Stratiomys longicornis
Chironomidae,Chironomidae,Chironomidae,Chironominae
Coleoptera,Hydrophilinae,Laccobius,Laccobius
Diptera,Simuliidae,Simulium,Simulium equinum
Coleoptera,Gyrinidae,Orectochilus,Orectochilus villosus
Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche pellucidula
Gastropoda,Ancylidae,Ancylus,Ancylus fluviatilis
Gastropoda,Neritidae,Theodoxus,Theodoxus fluviatilis
Chironomidae,Orthocladiinae,Orthocladius,Orthocladius rivulorum
Ephemeroptera,Ephemeridae,Ephemera,Ephemera vulgata
Trichoptera,Polycentropodidae,Polycentropus,Polycentropus irroratus
Trichoptera,Leptoceridae,Athripsodes,Athripsodes albifrons
Diptera,Simuliidae,Simulium,Simulium posticatum
Coleoptera,Hydraenidae,Hydraena,Hydraena riparia
Coleoptera,Hydraenidae,Hydraena,Hydraena nigrita
Coleoptera,Hydraenidae,Hydraena,Hydraena britteni
Trichoptera,Polycentropodidae,Polycentropus,Polycentropus
Coleoptera,Gyrinidae,Gyrinidae,Gyrinidae
Oligochaeta,Tubificidae,Slavina,Slavina appendiculata
Coleoptera,Dytiscidae,Platambus,Platambus maculatus
Diptera,Limoniidae,Limoniidae,Hexatomini
Coleoptera,Chrysomelidae,Donacia,Donacia
Chironomidae,Diamesinae,Diamesinae,Diamesinae
Tanaidacea,Tanaidacea,Tanaidacea,Tanaidacea
Trichoptera,Stenophylachini,Potamophylax,Potamophylax rotundipennis
Coleoptera,Gyrinidae,Gyrinus,Gyrinus caspius
Chironomidae,Chironomini,Endochironomus,Endochironomus tendens
Trichoptera,Stenophylachini,Potamophylax,Potamophylax cingulatus
Trichoptera,Sericostomatidae,Sericostoma,Sericostoma personatum
Gastropoda,Planorbidae,Anisus,Anisus leucostomus
Trichoptera,Leptoceridae,Leptocerus,Leptocerus tineiformis
Ephemeroptera,Ephemeridae,Ephemera,Ephemera danica
Chironomidae,Chironomini,Paracladopelma,Paracladopelma
Diptera,Culicidae,Culiseta,Culiseta
Oligochaeta,Tubificidae,Chaetogaster,Chaetogaster
Diptera,Psychodidae,Berdeniella,Berdeniella freyi
Ephemeroptera,Ephemerellidae,Serratella,Serratella ignita
Trichoptera,Leptoceridae,Mystacides,Mystacides azurea
Trichoptera,Psychomyidae,Lype,Lype
Trichoptera,Brachycentridae,Brachycentridae,Brachycentridae
Brachycera,Ephydridae,Ephydridae,Ephydridae
Trichoptera,Lepidostomatidae,Lepidostomatidae,Lepidostomatidae
Gastropoda,Planorbidae,Gyraulus,Gyraulus crista
Heteroptera,Gerridae,Gerris,Gerris odontogaster
Diptera,Limoniidae,Erioptera,Erioptera
Chironomidae,Orthocladiinae,Metriocnemus,Metriocnemus
Coleoptera,Dytiscinae,Acilius,Acilius canaliculatus
Diptera,Limoniidae,Scleroprocta,Scleroprocta
Diptera,Psychodidae,Berdeniella,Berdeniella
Gastropoda,Hydrobiidae,Hydrobia,Hydrobia
Trichoptera,Glossosomatidae,Agapetus,Agapetus fuscipes
Trichoptera,Goeridae,Silo,Silo pallipes
Trichoptera,Psychomyidae,Tinodes,Tinodes
Diptera,Limoniidae,Limoniidae,Eriopterini
Trichoptera,Leptoceridae,Ceraclea,Ceraclea annulicornis
Trichoptera,Leptoceridae,Ceraclea,Ceraclea nigronervosa
Heteroptera,Corixidae,Sigara,Sigara lateralis
Bivalvia,Unionidae,Unio,Unio pictorum
